App Name,App Name,App Owners,,DM Mods to add your apps in the List,,
https://ritual-onchain-id.vercel.app/,Ritual Testnet Card,maharshi_17904,,Always Use your Testnet Wallet / Burner Wallet,,
https://ritual-stats-check.vercel.app/,Ritual Address Analyzer,0xtanoy,,,,
https://gritual-striker.vercel.app/,GM Stike every 24 Hours,kency17,,,,
https://siggy-arcade.vercel.app/,Siggys Virtual Arcade,0x0saragi,,,,
https://ritual-builder-proof.pages.dev/,Ritual Builder Proof,pushkin_ievgen,,,,
https://ritual-tamagotchi.vercel.app/,Ritual Tamagotchi,mirage5815,,,,
https://ritual-console.netlify.app/,Ritual Mission Console,herbcase,,,,
https://jumping-siggy-the-pussy.vercel.app/,Jumping Siggy,randzkie05,,,,`
https://ramavenom.github.io/rekt-or-rich/,Predection Market,ramaxwhale,,,,
https://ritual-micro-tap.vercel.app/,Ritual Micro Tap,lubudebotton,,,,
https://siggy-power-cards.vercel.app/,Siggy Power Card,cripson,,,,
https://ritual-oracle-two.vercel.app/,Ritual Oracle,tutubear,,,,
https://ritualarena1.vercel.app/,Ritual Arena,jonikeciltomuch,,,,
https://t.me/DiaRoutine_Bot,diabetes diary TG BOT,meison7554,,,,
https://www.ritcord.xyz/,Ritual Discord Tracker NFT MInt,marksocrates,,,,
https://siggy-ritualizer.vercel.app/,Siggy Ritualizer,dabid3258,,,,
https://ritual-flip.vercel.app/,Ritual Coin Flip,nheoweb3,,,,
https://ritual-card-pfp-generator.vercel.app/,Ritual Identity Generator,emir_ethh,,,,
https://ritual-lst.vercel.app/,Ritual Staking,yourinuu,,,,
https://siggystreaks.vercel.app/en,Siggy Streaks,Thomas,,,,
https://guess-the-ritualist.vercel.app/,Guess The Ritualists,oluwasegun1334,,,,
https://ritual-paws.vercel.app/,Ritual Paws,_neitenoz26,,,,
ritual-rocketpad.vercel.app,RitualPad,noyon_12,,,,
ritual-mystery-box.vercel.app,3D CASE SEALER,sarimbby,,,,
https://skypredict.app/,Sky Predict,pemburuhadiah_,,,,
https://ritualplayyy.netlify.app/,Ritual Play Spin,siuuuu7707,,,,
https://siggy-miner-ritual.vercel.app/,Siggy Miner,_._mingyu_._,,,,
https://ritual-fate-engine.netlify.app/,Ritual Fate Engine,Murat,,,,
https://risa-finance.netlify.app/,Risa Finance,septian227,,,,
https://ritual-learn.vercel.app/,Ritual Learn,dotmantissa,,,,
https://ritual-flip-card-game.fun/,Ritual Flip Game,Hanna_tran,,,,
https://ritualist-game.vercel.app/,Ritual Survival,kaffee8888,,,,
https://ritual-tip-feed-iwkg.vercel.app/,Ritual Tip Feed,prv04_,,,,
https://the-cauldron-iota.vercel.app/,The Cauldron,mmorgs,,,,
https://ritualapp-revoke.vercel.app/,Ritual App Revoke,nostalgiagila,,,,
https://ritual-time-capsule.vercel.app/,Ritual Time Capsule,miretu,,,,
https://nft-ritual-banner-x.vercel.app/,Ritual Banner NFT,rizannn,,,,
https://ritualfortunes-juqy.vercel.app/,Ritual Fortune,Kej,,,,
https://siggyrunv2.vercel.app/,Siggy Run,aliorbz,,,,
https://stealth-drop-omega.vercel.app/,Stealth Drop,versus777,,,,
https://ritual-friend.vercel.app/,Ritual Friend Zone,Willox,,,,
https://ritual-teacher-hjb3.vercel.app/,Ritual Teachr Hub,kitoccrypto,,,,
https://ritual-testnet-six.vercel.app/,Blockie NFT Dapp,blockiexyz,,,,
https://ritual-agent-feeds.vercel.app/,Ritual Agent Terminal,NXR,,,,
https://ritual-dapp.vercel.app/,Ritual Deploy Contract,babangaip,,,,
https://sigil-ritual.auranode.xyz/,Ritual Play Ground,hidayahhtaufik,,,,
https://ritual-signature-cards.vercel.app/,Ritua signature Cards,antgeo13,,,,
https://inferstake.vercel.app,Ritual inferstake,tanvirmiqbal,,,,
https://ritual-scratch.vercel.app/,Ritual Scratch,abmdrop,,,,
https://ritual-relic-hunt.vercel.app/,Ritual Relic hunt,flaha,,,,
https://ritual-speed-quiz.vercel.app/,Ritual Quiz,i_xer0,,,,
https://ritual-carnival.vercel.app/,Ritual Claw Carnival,tanjiiiiiiii,,,,
https://ritual-pixel-quest.vercel.app/,Ritual Restor Puzzle,kenavee,,,,
https://ritual-collection.vercel.app/,Ritual Collection,tripppin666,,,,
https://deadman-switch.netlify.app/,Ritual's Dead Man Switch,Rohit,,,,
https://cranky-dunces-unlocks-ritualmainnet.vercel.app/,Ritual Dunce,Cranky,,,,
ritual-create-contract.vercel.app,Ritual Contract Deploy,Joyesh,,,,
https://ritualtypeedu.netlify.app/,Ritual Type,beacon45,,,,
https://ritualconnectionidentity.vercel.app/,Ritual Connection Identity,saamzzzbro,,,,
https://ritual-atlas.vercel.app/,Ritual Discovery,cryptowood,,,,
https://ritual-pfp-onchain.vercel.app/,Ritual PFP OnChain,beeeear.,,,,
https://ritual-narrative-pulse.vercel.app/,Narrative Pulse,bullex0,,,,
https://rittymarket.xyz/,Prediction Market,frisco_fr,,,,
https://ritual-puzzles.vercel.app/,Ritual Puzzle,ms.jaeee,,,,
https://ritual-clicker.vercel.app/,Ritual Clicker,callmehannnn,,,,
https://ritual-sbt-mint-oahid.vercel.app/,Ritual SBT,oahid,,,,
https://ritual-guys.vercel.app/,Ritual Guys,herrybrown09,,,,
https://www.siggy.surf/,Siggy Surfers,tutufly_yy,,,,
https://myritualpassport.vercel.app/,Ritual Passport,itsmeagoyyy,,,,
https://ritual-network-bice.vercel.app/,Ritual Build your mark,youngest_grandad_marvell,,,,
ritual-tetris.vercel.app,Ritual Tetris,0xeyesofetresia,,,,
https://ritualpfp.xyz/,Ritual PFP generator,dayzzzer,,,,
https://matheritual.vercel.app/,Matheritual,philip3828,,,,
https://the-courtroom.vercel.app/,The Courtoom,snooowflake,,,,
https://ritual-casino.vercel.app/,Ritual Casino,befree0x,,,,
https://ritualwallinferencenet.netlify.app/,Ritual Wall,seesac_,,,,
https://ritual-wallet-dashboard.vercel.app/,Ritual Command Center,0xdenta,,,,
https://enshrined-psi.vercel.app/,Enshrined,starknight50x,,,,
https://ritualfly.vercel.app/,RitualFly,Dezzy,,,,
https://ritual-arbiter.vercel.app/,On-Chain AI Judge,lambezii,,,,
https://ritual-divination.vercel.app/,Ritual Divination,tembi4kinn,,,,
